End Address,Driving Distance (meters),Driving Distance (miles)
"145 Oyster Creek Dr., ste. 3, Lake Jackson",1294,0.804054074
"875 Nichols Ave, Bay City, Texas 77414",59963,37.25926927
"411 Sailfish Lane, Freeport, TX",19748,12.27083451
"113 Abner Jackson Parkway, Ste. C, Lake Jackson",882,0.548049222
"104 N. Parking Place, Lake Jackson, TX TX",974,0.605215354
"115 N. Dixie Dr., Ste. 230-A, Lake Jackson",2080,1.29245168
"null, null, ",#ERROR!,
"314 W. Texas St., Brazoria, TX 77422",14018,8.710378678
"III, 327 Hwy. 2004, Lake Jackson",2080,1.29245168
"201 Oak Dr. S., Ste., 203",1956,1.215401676
"3200 Southwest Freeway, Suite 1575, ",85594,53.18562937
"21017 CR 171, Angleton, TX",16800,10.4390328
"423 This Way, Lake Jackson, TX 77566",835,0.518844785
"124A Flag Lake Dr., Lake Jackson, Texas 77566",5037,3.129845727
"506 E. Hwy. 332, Lake Jackson, TX TX",3087,1.918172277
"101 Oyster Creek Dr., Lake Jackson, TX TX",1901,1.181226271
"117 N. Parking Place, Lake Jackson, TX TX",879,0.546185109
"130 Lake Rd., Lake Jackson, TX",1433,0.890424643
"301 Verde Dr, Ofc, ",#ERROR!,
"905 N Ave J, Freeport, Texas 77541",13126,8.156115746
"810 N. Dixie Dr., Ste. M, Clute",6774,4.209167154
"700 E. FM 1462, Rosharon, ",36537,22.70303223
"20 Red Oak Ct., Lake Jackson, TX TX",4635,2.880054585
"30 Circle Way, Lake Jackson, TX TX",781,0.485290751
"2322 C.R. 229, Freeport, TX",16038,9.965548098
"201 That Way, Lake Jackson, Texas 77566",862,0.535621802
"null, null, ",#ERROR!,
"121A Hwy. 332 W., Lake Jackson, TX",1791,1.112875461
"105 Winding Way, Lake Jackson, TX TX",1803,1.120331913
"101 Winding Way, Ste. E, Lake Jackson",1671,1.038310941
"218 W. Hwy. 332, Lake Jackson, TX TX",2716,1.687643636
"1100 S. Hwy. 38, Brazoria, TX 77421",13605,8.453752455
"12603 Executive Dr Ste 810, Stafford, Texas 77477",88353,54.89999196
"121 TX-332, Ste. G, ",1685,1.047010135
"108 E. Main Street, Clute, TX TX",8337,5.180370027
"617 N. Brazosport Blvd., Clute, TX TX",13159,8.176620989
"513 Moffett, Clute, TX TX",11951,7.426004821
"2123 South Velasco, Angleton, Texas 77515",13821,8.587968591
"14004 S. Hwy. 288B, Angleton, TX TX",25987,16.14756818
"8000 Airport Road, Angleton, Texas Texas",12641,7.854750811
"106 N. Parking Place, Lake Jackson, TX",952,0.591545192
"8590 W. Tidwell Rd., Houston, TX TX",104041,64.64806021
"201 E Myrtle St. Ste. 260, Angleton, TX TX",16509,10.25821384
"905 N. Gulf Blvd., Freeport, TX",13019,8.089629049
"2979 Pack Saddle Way, Frisco, Texas 75034",514302,319.572348
"716 W. Plantation Dr. Ste108, Clute, Texas 77531",5684,3.531872764
"1227 Hwy. 332, Clute, TX TX",7921,4.921879691
"114 Linda Lane, Freeport, Texas 77541",16524,10.2675344
"85 Oak Dr., Ste. 102, Lake Jackson",5623,3.493969133
"null, null, ",#ERROR!,
"5300 Memorial Drive, Ste. 980, Houston",88463,54.96834277
"101 Verde Dr, Ofc, Ofc",6197,3.850636087
"721 W. Mulberry, Angleton, TX",15054,9.354119034
"223 Parking Way, Lake Jackson, TX TX",551,0.342375421
"null, null, ",#ERROR!,
"914 N. Brazosport Blvd., Clute, TX 77531",12842,7.979646382
"100 Lakeview Drive, Clute, Texas Texas",6498,4.037668758
"663 E. County Grove Circle, Pearland, TX",69613,43.25549942
"111 Brazosport Blvd. S., Clute, TX TX",12086,7.509889906
"1415 W. 2nd Street, Freeport, TX",15071,9.364682341
"222 W. Plantation Dr., Clute, TX 77531",7703,4.786420813
"16242 Hwy. 288-B, Angleton, TX TX",25987,16.14756818
"202 Plantation Drive, Lake Jackson, TX TX",4357,2.707313447
"SGS, 4005 Technology Dr., Ste. 1008-E",#ERROR!,
"1421 S. Front Street, Angleton, TX TX",14955,9.292603305
"114 W. Plantation, Clute, TX 77531",7607,4.726769197
"125 TX 332, Ste. G, Lake Jackson",2360,1.46643556
"1220 Gulf Fwy., Texas City, TX TX",63657,39.55461375
"DDS, 201 Oak Dr. S., Ste. 206",1964,1.220372644
"104 Circle Way Street, Suite E, ",626,0.388978246
"1604 Old Angleton Rd., Clute, TX TX",4861,3.020484431
"4511 Yoakum Blvd., Ste. 100, Houston",82818,51.46070348
"Stacey Barnhart, 642 CR 605, Angleton",16800,10.4390328
"210 Abner Jackson Pkwy., Lake Jackson, TX TX",956,0.594030676
"100 This Way, Lake Jackson, TX TX",349,0.216858479
"216 Hwy. 332 W., Lake Jackson, TX TX",2741,1.703177911
"225 CR 792, Freeport, TX",16038,9.965548098
"333 Hwy. 332 E., Lake Jackson, TX",462,0.287073402
"332 State Highway 332, Lake Jackson, TX 77566",2734,1.698828314
"131 Commerce St., Clute, TX TX",7661,4.760323231
"201 Oak Dr. South, Ste. 107, Lake Jackson",1941,1.206081111
"4005 Technology Dr., Ste. 1010 - Box 2, Angleton",20940,13.01150874
"107 West Way Suite 18, Lake Jackson, Texas 77566",1003,0.623235113
"109 Abner Jackson Parkway, Ste. A, Lake Jackson",1092,0.678537132
"1 West Way Court, Lake Jackson, TX TX",753,0.467892363
"120 Commerce St., Clute, TX",7618,4.733604278
"107 West Way, Ste. 3, Lake Jackson",1003,0.623235113
"2008 Jones Rd., Freeport, TX 77540",12158,7.554628618
"1914 N. Brazosport Blvd., Freeport, TX 77541",11608,7.212874568
"1125 West Park One Drive, Sugar Land, Texas 77478",89432,55.57045127
"606 N. Brazosport Blvd., Freeport, TX TX",13197,8.200233087
"2080 Genoa Read Bluff, Houston, TX 77034",93064,57.82727074
"122 W. Way Street, Suite 306, ",940,0.58408874
"113 N. Dixie Dr., Lake Jackson, Texas 77566",5365,3.333655415
"720 S. Main, Clute, TX TX",7418,4.609330078
"628 Willow Dr., Lake Jackson, TX 77566",4464,2.773800144
"10040 E. Frwy., Houston, TX TX",93827,58.30137682
"2315 Hoskins Mound Rd, Danbury, Texas 77534",29435,18.29005539
"null, null, ",#ERROR!,
"200 N. Hwy. 288-B, Clute, TX TX",6428,3.994172788
"490 This Way, , Lake Jackson",839,0.521330269
"P.O. Box 96116, Houston, TX TX",84547,52.53505394
"102 Yaupon St., Lake Jackson, TX TX",1805,1.121574655
"null, null, ",#ERROR!,
"53 Canyon Oak Court, Lake Jackson, TX TX",4011,2.492319081
"null, null, ",#ERROR!,
"200 W 2nd St, Freeport, Texas 77541",18045,11.2126397
"1500 Lamar, Quintana, TX",23597,14.66249149
"200 North Navigation Blvd., Freeport, TX TX",16947,10.53037434
"98 N. Dixie Dr., Lake Jackson, TX TX",5307,3.297615897
"200 W. 2nd. St., Freeport, TX",16770,10.42039167
"null, null, ",#ERROR!,
"1111 CR 44, Angleton, TX",17771,11.04238404
"327 W. 8th, Freeport, TX TX",17342,10.77581588
"143 Robin Trail, Richwood, Texas Texas",6994,4.345868774
"22 N. Gulf Blvd., Freeport, TX TX",14011,8.706029081
"111 Loganberry Street, Lake Jackson, TX",4041,2.510960211
"112 S. Parking Place, Lake Jackson, TX",397,0.246684287
"101 Verde Dr, Ofc, Ofc",6197,3.850636087
"302 Midway Rd., Freeport, TX",18433,11.45373164
"DDS, 121 Circle Way, Lake Jackson",419,0.260354449
"145 Oyster Creek Dr. # 10, Lake Jackson, TX TX",1452,0.902230692
"125 Hwy 332 W, Suite E, Lake Jackson",2367,1.470785157
"212 That Way, Lake Jackson, TX",673,0.418182683
"1311 W. League City Pkwy., League City, TX 77573",71581,44.47835755
"1101 N. Brazosport Blvd., Freeport, TX TX",12752,7.923722992
"104 This Way St., Lake Jackson, TX TX",594,0.369094374
"3100 N. 288, Angleton, TX",16800,10.4390328
"299 Hwy. 332 West, Lake Jackson, TX TX",3906,2.427075126
"219 Oak Dr. S. #A, Lake Jackson, TX TX",2210,1.37322991
"MD, 186 Abner Jackson Parkway, Lake Jackson",1169,0.726382699
"231 Gulf Prairir Rd., Jones Creek, TX 77541",11493,7.141416903
"1806-1 Brazosport Blvd. N., Richwood, TX 77531",9371,5.822867641
"738 S. Main #2, Clute, TX TX",7265,4.514260315
"97 Oyster Creek Dr., Lake Jackson, TX",885,0.549913335
"603 CR 227-A, Freeport, TX",23640,14.68921044
"Executive Director, 12 Circle Way, Lake Jackson",710,0.44117341
"85 Oak Drive, Suite 101, ",#ERROR!,
"219 Parking Way St, Lake Jackson, Texas 77566",572,0.355424212
"4302 FM 523, Freeport, TX TX",18692,11.61466673
"1175 River Ranch Rd., Brazoria, TX 77420",68993,42.8702494
"4828 Loop Central Dr., Ste. 800, Houston",86422,53.70012456
"127 Circle Way, Lake Jackson, TX",367,0.228043157
"207 THAT WAY STREET, SUITE C, LAKE JACKSON",2080,1.29245168
"215 W. Hwy. 332, Lake Jackson, TX TX",2620,1.62799202
"201-B Hwy. 332 W., Ste. 1400, Lake Jackson",2333,1.449658543
"1033 Dixie Drive, Suite A, ",#ERROR!,
"DVM, 41360 SH 288, Angleton",14726,9.150309346
"200 Lake Road, Lake Jackson, TX TX",1146,0.712091166
"4151 King Rail Circle, Galveston, Texas 77554",47062,29.242962
"16331 Blossomwood Ln., Sugar Land, TX TX",95749,59.49565188
"129 Circle Way., ste. 101, Lake Jackson",348,0.216237108
"2802 FM 523, Freeport, TX TX",16270,10.10970617
"AIA, 107 West Way, Ste. 16",#ERROR!,
"15915 Katy Freeway, Ste. 300, Houston",107557,66.83280065
"135 Oyster Creek Dr., Ste. S, Lake Jackson",1767,1.097962557
"Falkirk Ln., HOUSTON, TX 77025",81021,50.34409979
"302 Plantation Drive, Lake Jackson, TX TX",4611,2.865141681
"1 Wesley Drive, Clute, Texas Texas",6501,4.039532871
"200 S. Brazosport Blvd., Clute, TX TX",9894,6.147844674
"190 Abner Jackson Parkway, Ste. 210 &amp; 220, Lake Jackson",1083,0.672944793
"1004 S. Velasco, Angleton, TX 77515",16126,10.02022875
"429 W. Plantation Dr., Clute, TX TX",6121,3.803411891
"1725 S. Velasco, Angleton, TX TX",14328,8.903003688
"211 Flag Lake Dr., Clute, TX 77531",5951,3.697778821
"738 S. Main St., Clute, TX TX",7265,4.514260315
"406 S. Hwy. 288-B, Clute, TX TX",6428,3.994172788
"7207 S. F. Austin Rd., Jones Creek, TX",13545,8.416470195
"null, null, ",#ERROR!,
"115 Oyster Creek Drive, Lake Jackson, Texas 77566",1006,0.625099226
"225 Parking Way, Lake Jackson, TX",538,0.334297598
"34 Circle Way St., Lake jackson, TX TX",799,0.496475429
"8333 CR 400, Brazoria, TX TX",9363,5.817896673
"3515 B Longmire Dr. Suite 342, College Station, TX 77845",227772,141.5309154
"201 That Way, Lake Jackson, Texas Texas",862,0.535621802
"210 Lake Rd., Ste. 800-B, Lake Jackson",1616,1.004135536
"224 Plantation Drive, Lake Jackson, TX TX",4402,2.735275142
"215 Oak Dr. S., Ste. E, Lake Jackson",2135,1.326627085
"8 West Way Court, Lake Jackson, TX",806,0.500825026
"105 Abner Jackson Parkway, Lake Jackson, TX TX",1155,0.717683505
"401-A This Way Street, Lake Jackson, Texas 77566",723,0.449251233
"705 Dixie Drive, Lake Jackson, TX TX",4053,2.518416663
"102 This Way, Lake Jackson, TX",564,0.350453244
"null, null, ",#ERROR!,
"215 Oak Dr. Suite C, Lake Jackson, TX TX",2096,1.302393616
"215 Oak Dr. S., Ste. F, Lake Jackson",2112,1.312335552
"EMS Chief, 10 Oak Drive, Ste. B",#ERROR!,
"249 Circle Way, Lake Jackson, TX TX",554,0.344239534
"294 Abner Jackson Pkwy., Lake Jackson, TX",1161,0.721411731
"120 Garland Dr., Lake Jackson, TX",4909,3.050310239
"25 Oak Drive, Lake Jackson, TX TX",814,0.505795994
"603 Jaco, Clute, TX",8964,5.569969644
"null, null, ",#ERROR!,
"221 Parking Way, Lake Jackson, Texas Texas",561,0.348589131
"217 Hwy. 332 W., Lake Jackson, TX TX",2677,1.663410167
"121 N. 10th St., West Columbia, TX",32735,20.34057969
"26 Circle Way, Lake Jackson, TX TX",765,0.475348815
"210 Lake Road, Suite 100A, Lake Jackson",1589,0.987358519
"120 That Way, Lake Jackson, TX TX",479,0.297636709
"5550 E. Hwy. 332, Freeport, TX TX",12462,7.743525402
"null, null, ",#ERROR!,
"603 S. Lazy Lane, Clute, TX TX",5881,3.654282851
"777 S. Hwy. 288-B, Clute, TX TX",6428,3.994172788
"5900 Balcones Dr, Ste 100, Austin",308113,191.4524829
"#2 Hemlock Place, Angleton, TX",20512,12.74556195
"107 West Way St STE 26, Lake Jackson, Texas 77566",928,0.576632288
"101 Winding Way, Suite K, ",354339,220.1759788
"2409 E. Mulberry Street, Angleton, Texas",20551,12.76979542
"504 S. Hwy. 288-B, ste. C, Clute",6774,4.209167154
"824 N. Gulf Blvd., Freeport, TX TX",13071,8.121940341
"208 Dixie Dr., Clute, TX TX",6054,3.761780034
"1300 N. Hwy. 288-B, Richwood, TX",6428,3.994172788
"5625 Schumacher, Houston, TX TX",88205,54.80802906
"6402 E. Hwy. 332, Freeport, TX",10886,6.764244706
"4057 E. SH. 332, Freeport, TX TX",14865,9.236679915
"2218 FM 523, Freeport, TX TX",15581,9.681581551
"107 West Way, Ste. 14, Lake Jackson",991,0.615778661
"null, null, ",#ERROR!,
"8301 Airport Way, Angleton, TX TX",13176,8.187184296
"210 Lake Rd., Bldg. 900, Lake Jackson",1489,0.925221419
"P.O. Box 2040, Clute, Texas 77531",7998,4.969725258
"1420 Old Angleton Rd., Clute, Texas 77531",5033,3.127360243
"128 Oyster Creek Dr., Lake Jackson, TX",1077,0.669216567
"449 E. Plantation, Clute, TX TX",8368,5.199632528
"103 Oyster Creek Drive, #3, Lake Jackson",1903,1.182469013
"707, Partridge Ln, ",#ERROR!,
"508 Yorktown Ave., Clute, Texas",5406,3.359131626
"829 County Road 687, Angleton, Texas 77515",7235,4.495619185
"1 Performance Dr., Ste. A, Angleton",29448,18.29813321
"855 CR 340, Angleton, TX",16800,10.4390328
"2113 CR 220, Angleton, TX TX",12744,7.918752024
"null, null, ",#ERROR!,
"400 W. Mulberry, , Angleton",15817,9.828225107
"101 Winding Way, Suite 100, ",354339,220.1759788
"28 Circle Way, Lake Jackson, TX TX",764,0.474727444
"411 This Way St, Lake Jackson, Texas 77566",741,0.460435911
"204 Oak Dr. S., Lake Jackson, TX TX",1979,1.229693209
"127 Plantation Dr. W., Lake Jackson, TX TX",4122,2.561291262
"1608 Old Angleton Rd., Clute, TX TX",4761,2.958347331
"2101 Oakwood Dr, Lake Jackson, Texas 77566",8124,5.048018004
"null, null, ",#ERROR!,
"919 W. 2nd, Freeport, TX",15748,9.785350508
"512 This Way St., Lake Jackson, TX TX",1008,0.626341968
"208 Oak Dr. S., #502, Lake Jackson",2085,1.295558535
"1600 Hwy 2004, Richwood, Texas 77531",7509,4.665874839
"null, null, ",#ERROR!,
"514 WALNUT ST, LAKE JACKSON, TX",3411,2.119496481
"105 Anyway St., Lake Jackson, TX 77566",1607,0.998543197
"440 Hwy. 332, Lake Jackson, TX",2234,1.388142814
"3521 7th St., Bay City, TX 77414",58148,36.13148091
"1300 Skinner Street, Freeport, TX TX",12842,7.979646382
"469 This Way St., Lake Jackson, TX TX",868,0.539350028
"1432 Highland Park Dr., Clute, TX",13869,8.617794399
"132 Oyster Creek Dr., Lake Jackson, TX 77566",1517,0.942619807
"11200 Broadway, ste. 2751, Pearland",60298,37.46742856
"DVM, 100 Forest Oaks Lane, Lake Jackson",4704,2.922929184
"2054 CR 220, Angleton, TX TX",11664,7.247671344
"2513 N. Velasco, Angleton, TX TX",20174,12.53553855
"null, null, ",#ERROR!,
"107 W Way St. Suite 12, Lake Jackson, ",1001,0.621992371
"465 This Way, ste. B, Lake Jackson",829,0.515116559
"null, null, ",#ERROR!,
"630 E. Plantation Dr., Clute, TX 77531",10508,6.529366468
"202 Oak Drive South, Lake Jackson, TX",1858,1.154507318
"208 Oak Dr. S., Ste. 100A, Lake Jackson",2085,1.295558535
"301 This Way St., Lake Jackson, TX",1943,1.207323853
"1100 Cherry St., Freeport, TX TX",18392,11.42825543
"638 Willow Dr., Lake Jackson, TX 77566",4507,2.800519097
"327 Garland Drive, Lake Jackson, TX",6151,3.822053021
"3115 Shady Creek Ln., Oyster Creek, TX TX",16690,10.37068199
"Traci Kuhfuss &amp; Marilyn Rawls, 4420 CR 929A, Brazoria",13605,8.453752455
"808 N. Brooks St., Brazoria, TX TX",14042,8.725291582
"123 Circle Way, Lake Jackson, TX TX",377,0.234256867
"210 Lake Road, Suite 700A, ",#ERROR!,
"10 S. Gulf Blvd., Freeport, TX",14200,8.8234682
"City Administrator, 814 N. Lamar, Quintana",#ERROR!,
"Jr., 490 This Way, Suite 220",#ERROR!,
"108 That Way, Lake Jackson, TX",439,0.272781869
"200 Hwy. 332, Lake Jackson, TX TX",1076,0.668595196
"M.D., 192 Abner Jackson Parkway, Lake Jackson",1048,0.651196808
"107 This Way, Suite A, ",#ERROR!,
"Broker, 473 This Way, Lake Jackson",829,0.515116559
"111 Gadwall, Clute, TX TX",3807,2.365559397
"402 Bluewater Highway, Surfside Beach, TX TX",20675,12.84684543
"106 Hwy 332 W., Ste. 101, Lake Jackson",1643,1.020912553
"105 This Way, Lake Jackson, TX TX",236,0.146643556
"1053 FM 2004, Lake Jackson, TX 77566",3529,2.192818259
"125 FM 2004, Lake Jackson, TX 77566",4053,2.518416663
"101 Eucalyptus St., Lake Jackson, TX TX",3135,1.947998085
"1038 W. Plantation Dr., Clute, TX",5152,3.201303392
"CFP &amp; Jeff Fattig, CFP, 7 West Way Ct.",2855597,1774.385163
"1800 N. Brazosport Blvd., Richwood, TX TX",11820,7.34460522
"3015 E. Mulberry, Angleton, TX TX",20931,13.0059164
"107 West Way, ste. 2, Lake Jackson",1003,0.623235113
"null, null, ",#ERROR!,
"840 W Plantation Dr, Clute, Texas 77531",5421,3.368452191
"792 Brazosport Blvd. S., Clute, TX",10160,6.31312936
"220 Huckleberry Dr., Lake Jackson, TX TX",3036,1.886482356
"120 S Avenue B, Freeport, Texas Texas",14588,9.064560148
"25 Oak Dr., Lake Jackson, Texas Texas",814,0.505795994
"6322 E. Hwy. 332, Freeport, TX 77541",10955,6.807119305
"II, 1022 N. Ave. G, Freeport",12877,8.001394367
"608 East 2nd St., Freeport, TX TX",17869,11.1032784
"2042 CR 220, Angleton, TX",11549,7.176213679
"15800 South Freeway, Pearland, TX",63942,39.73170448
"622 Commerce St., Ste. 200, Clute",8732,5.425811572
"null, null, ",#ERROR!,
"606 S. 17th, West Columbia, TX TX",26668,16.57072183
"302 Medical Dr., Lake Jackson, TX",3583,2.226372293
"1401 N. Brazosport Blvd., ste. E, Freeport",12379,7.691951609
"15375 Memorial Drive, Suite 850, ",98971,61.49770924
"1820 E. CR 36, Angleton, TX",30555,18.98599091
"Located in, Lake Jackson, TX 77566",5513,3.425618323
"null, null, ",#ERROR!,
"22 Circle Way St., Lake Jackson, Texas 77566",745,0.462921395
"20 Circle Way, Lake Jackson, Texas",739,0.459193169
"420 Garland Dr., Lake Jackson, TX TX",5891,3.660496561
"33002 FM 2004, Angleton, TX TX",10365,6.440510415
"5618 E. Hwy. 332, Freeport, TX TX",39703,24.67029281
"702 FM 523, Freeport, TX TX",15512,9.638706952
"902 North Ave. J, Freeport, Texas",12906,8.019414126
"null, null, ",#ERROR!,
"323 Timbercreek, Lake Jackson, TX TX",4096,2.545135616
"null, null, ",#ERROR!,
"142 Brazosport Blvd. N, Clute, Texas Texas",7998,4.969725258
"500 College Drive, Lake Jackson, Texas Texas",5261,3.269032831
"206 Oak Drive S., Lake Jackson, TX",2109,1.310471439
"1226 County Road 45, Angleton, Texas 77515",25022,15.54794516
"223 Parking Way, Lake Jackson, TX TX",551,0.342375421
"410 Pecan, Sweeny, TX",31808,19.76456877
"105 Creekwood Landing, Richwood, Texas 77541",7536,4.682651856
"1001 N. Market St., Brazoria, Texas Texas",12546,7.795720566
"714 Wade St, Clute, Texas",8054,5.004522034
"216 Lakeview Dr., Clute, TX",6049,3.758673179
"141 Canna Lane, Lake Jackson, TX",2666,1.656575086
"11 N. Gulf Blvd., Freeport, TX TX",14009,8.704786339
"215 Oak Dr. S., ste. M, Lake Jackson",2038,1.266354098
"120 Hwy. 332 W., Ste. A-6, Lake Jackson",2153,1.337811763
"905 Hwy. 332 W., Lake Jackson, TX TX",6069,3.771100599
"MD, MBA, 201 Oak Dr. S.",1931,1.199867401
"221 Parking Way, Lake Jackson, TX",561,0.348589131
"129 Circle Way, Suite 102, ",#ERROR!,
"222 W. Burleson, Wharton, TX 77488",83652,51.97892689
"null, null, ",#ERROR!,
"100 Medical Drive, Lake Jackson, TX TX",1941,1.206081111
"Heritage Ct. #9, Lake Jackson, TX TX",2080,1.29245168
"Agent, 635 Dixie Dr., Ste. I",#ERROR!,
"120 Hwy. 332 West, Suite B-14, Lake Jackson",2265,1.407405315
"225 Parking Way, Lake Jackson, TX TX",538,0.334297598
"107 Plantation Dr., Lake Jackson, TX TX",4266,2.650768686
"981 FM 2004, Lake Jackson, TX TX",3010,1.87032671
"2513 N. Velasco, Angleton, TX TX",20174,12.53553855
"190 Abner Jackson Pkwy., Ste. 100, Lake Jackson",1081,0.671702051
"2829 S VELASCO ST, ANGLETON, Texas 77515",12645,7.857236295
"null, null, ",#ERROR!,
"120 Highway 332 W, Ste A-2, ",#ERROR!,
"415 S. Ave. A, Freeport, TX TX",15014,9.329264194
"4075 CR 355, Brazoria, Texas Texas",20407,12.680318
"1304 Monument Drive, Surfside Beach, TX TX",21968,13.65027813
"1306 Bluewater, Surfside, Texas 77541",22143,13.75901805
"2112 N. Brazosport Blvd., Richwood, TX TX",11347,7.050696737
"111 Abner Jackson Parkway, Jackson, TX TX",1010,0.62758471
"null, null, ",#ERROR!,
"626 Dixie Drive, Clute, TX TX",6020,3.74065342
"2105 N. Brazosport Blvd., Freeport, TX",11564,7.185534244
"99-B This Way, Lake Jackson, TX TX",296,0.183925816
"526 Mockingbird Lane, Clute, TX TX",12392,7.700029432
"6117 W. Broadway, Ste. 122, Pearland",66688,41.43798925
"108 This Way St., Lake Jackson, TX TX",656,0.407619376
"1001 FM 2004 Rd., Lake Jackson, TX",2537,1.576418227
"1335 Brittmoore Rd., Houston, TX TX",98960,61.49087416
"1740 W 4th St., Ste. 101, Freeport",14870,9.23978677
"1400 Brazosport Blvd., Freeport, TX 77536",12319,7.654669349
"null, null, ",#ERROR!,
"100 Hwy. 332 W., ste. 1126, Lake Jackson",1869,1.161342399
"5215 1st Street, Crosby, Texas",119384,74.18175546
